ID,Time,Dose_nanomole,Drug_nM,Target_nM,Complex_nM
1,0,10,NaN,NaN,NaN
1,0.5,NaN,1.213,10.116,0.366
1,1,NaN,0.748,9.469,0.618
1,2,NaN,0.286,9.243,0.843
1,4,NaN,0.048,9.618,0.832
1,8,NaN,0.008,9.633,0.672
1,12,NaN,0.006,9.457,0.54
1,16,NaN,0.005,9.791,0.405
1,20,NaN,0.004,9.733,0.325
1,24,NaN,0.003,9.293,0.27
1,30,NaN,0.002,10.129,0.208
1,36,NaN,0.001,10.597,0.143
1,42,NaN,0.001,11.083,0.099
1,48,NaN,0.001,9.662,0.072
1,56,NaN,0.001,10.037,0.047
1,64,NaN,0,8.956,0.03
1,72,NaN,0,9.926,0.018
2,0,10,NaN,NaN,NaN
2,0.5,NaN,1.256,9.474,0.418
2,1,NaN,0.728,9.325,0.611
2,2,NaN,0.286,9.388,0.852
2,4,NaN,0.05,9.091,0.865
2,8,NaN,0.008,8.709,0.625
2,12,NaN,0.005,10.086,0.497
2,16,NaN,0.005,10.108,0.418
2,20,NaN,0.003,9.851,0.344
2,24,NaN,0.003,9.823,0.292
2,30,NaN,0.002,10.818,0.189
2,36,NaN,0.002,10.314,0.145
2,42,NaN,0.001,10.245,0.102
2,48,NaN,0.001,10.247,0.076
2,56,NaN,0.001,9.956,0.048
2,64,NaN,0,9.953,0.03
2,72,NaN,0,9.819,0.02
3,0,10,NaN,NaN,NaN
3,0.5,NaN,1.176,9.533,0.335
3,1,NaN,0.768,9.532,0.576
3,2,NaN,0.301,8.535,0.764
3,4,NaN,0.05,9.201,0.835
3,8,NaN,0.008,10.037,0.627
3,12,NaN,0.006,9.129,0.499
3,16,NaN,0.004,9.315,0.45
3,20,NaN,0.004,10.496,0.351
3,24,NaN,0.003,10.379,0.276
3,30,NaN,0.002,9.53,0.215
3,36,NaN,0.001,10.044,0.138
3,42,NaN,0.001,10.105,0.1
3,48,NaN,0.001,9.092,0.073
3,56,NaN,0.001,9.436,0.046
3,64,NaN,0,9.707,0.032
3,72,NaN,0,10.221,0.021
4,0,100,NaN,NaN,NaN
4,0.5,NaN,12.599,6.923,3.37
4,1,NaN,8.83,5.468,4.315
4,2,NaN,4.018,4.554,5.721
4,4,NaN,0.969,4.566,6.416
4,8,NaN,0.11,6.421,5.055
4,12,NaN,0.055,7.249,4.001
4,16,NaN,0.044,8.505,3.192
4,20,NaN,0.028,8.658,2.806
4,24,NaN,0.025,8.693,2.174
4,30,NaN,0.017,10.372,1.505
4,36,NaN,0.011,10.268,1.201
4,42,NaN,0.009,9.814,0.783
4,48,NaN,0.006,8.932,0.56
4,56,NaN,0.004,10.401,0.382
4,64,NaN,0.003,9.165,0.235
